QUEUE,TIMEZONE,49,50,51,52,1,2,3,4,5,6,7,8,9,10,11,12,13,14
GB Business Contacts,CENTRAL,3165,3138,3128,3116,2965,2937,3095,2982,3014,2993,3047,3086,3108,2864,2853,2949,2894,
,EAST,1659,1649,1637,1627,1543,1541,1622,1568,1582,1575,1599,1618,1627,1512,1507,1551,1525,
,WEST,2363,2347,2340,2329,2360,2634,2767,2674,2702,2683,2724,2764,2775,2578,2567,2647,2602,
GB Business Review,CENTRAL,12331,12330,12328,12323,11530,11575,11575,11579,11601,11871,11871,11871,11824,11066,11065,11065,11065,
,EAST,6555,6554,6553,6550,5301,5177,5177,5179,5193,5322,5322,5322,5298,5021,5021,5020,5020,
,WEST,10185,10185,10183,10179,10068,11288,11287,11292,11316,11575,11575,11575,11520,10864,10864,10863,10863,
GB CDD BRC and Appeals,CENTRAL,646,648,646,644,649,726,726,727,727,721,721,721,722,730,730,730,730,
,EAST,235,236,235,235,230,267,267,268,268,266,266,266,267,269,269,269,269,
,WEST,413,414,413,411,414,483,483,483,484,478,478,478,480,483,483,483,483,
GB Enhanced Review,CENTRAL,2744,2746,2747,2748,2837,3053,3053,3053,3082,3367,3367,3367,3364,3331,3331,3331,3332,
,EAST,1751,1752,1752,1752,1854,1918,1918,1918,1945,2130,2130,2130,2129,2119,2119,2119,2120,
,WEST,2354,2356,2357,2358,2537,2915,2915,2914,2946,3212,3212,3212,3209,3178,3178,3178,3179,
GB Offshore General,CENTRAL,84,86,86,86,70,80,82,81,113,81,81,89,91,88,89,91,90,
,EAST,66,68,68,68,59,56,57,57,88,57,57,64,67,63,64,66,65,
,WEST,69,71,71,71,60,71,73,73,110,73,72,82,85,80,81,84,83,
Grand Total,,44620,44580,44544,44497,42477,44721,45097,44848,45171,46404,46522,46645,46566,44246,44221,44446,44320,0